condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,Single-View-FT,13,1.0,0.0,1.0,,
full,Single-View-FT,14,1.0,0.0,1.0,,
full,Single-View-FT,15,1.0,0.0,1.0,,
full,Single-View-FT,16,1.0,0.0,1.0,,
full,Single-View-FT,17,1.0,0.0,1.0,,
full,Single-View-FT,18,1.0,0.0,1.0,,
full,Single-View-FT,19,1.0,0.0,1.0,,
full,Single-View-FT,20,1.0,0.0,1.0,,
full,Single-View-FT,21,1.0,0.0,1.0,,
full,Single-View-FT,22,1.0,0.0,1.0,,
full,Single-View-FT,23,1.0,0.0,1.0,,
full,Single-View-FT,24,1.0,0.0,1.0,,
full,Single-View-FT,25,1.0,0.0,1.0,,
full,Single-View-FT,26,1.0,0.0,1.0,,
full,Single-View-FT,27,1.0,0.0,1.0,,
full,Single-View-FT,28,1.0,0.0,1.0,,
full,Single-View-FT,29,1.0,0.0,1.0,,
full,Single-View-FT,30,1.0,0.0,1.0,,
full,Single-View-FT,31,1.0,0.0,1.0,,
full,Single-View-FT,32,1.0,0.0,1.0,,
full,Single-View-FT,33,1.0,0.0,1.0,,
full,Single-View-FT,34,1.0,0.0,1.0,,
full,Single-View-FT,35,1.0,0.0,1.0,,
full,Single-View-FT,36,1.0,0.0,1.0,,
full,Single-View-FT,37,0.9666666388511658,0.03333336114883423,0.0,,
full,Single-View-FT,38,1.0,0.0,1.0,,
full,Single-View-FT,39,1.0,0.0,1.0,,
full,Single-View-FT,40,1.0,0.0,1.0,,
full,Single-View-FT,41,1.0,0.0,1.0,,
full,Single-View-FT,42,1.0,0.0,1.0,,
full,Single-View-FT,43,1.0,0.0,1.0,,
full,Single-View-FT,44,1.0,0.0,1.0,,
full,Single-View-FT,45,1.0,0.0,1.0,,
full,Single-View-FT,46,1.0,0.0,1.0,,
full,Single-View-FT,47,1.0,0.0,1.0,,
full,Single-View-FT,48,1.0,0.0,1.0,,
full,Single-View-FT,49,1.0,0.0,1.0,,
full,Single-View-FT,50,1.0,0.0,1.0,,
full,Single-View-FT,51,0.9666666388511658,0.03333336114883423,0.0,,
full,Single-View-FT,52,1.0,0.0,1.0,,
full,Single-View-FT,53,1.0,0.0,1.0,,
