fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.125,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.125,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.125,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.125,macro_average,0.7876851956049601,,
average,0.1251,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1251,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1251,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1251,macro_average,0.7876851956049601,,
average,0.1252,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1252,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1252,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1252,macro_average,0.7876851956049601,,
average,0.1253,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1253,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1253,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1253,macro_average,0.7876851956049601,,
average,0.12539999999999998,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12539999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12539999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12539999999999998,macro_average,0.7876851956049601,,
average,0.1255,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1255,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1255,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1255,macro_average,0.7876851956049601,,
average,0.1256,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1256,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1256,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1256,macro_average,0.7876851956049601,,
average,0.1257,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1257,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1257,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1257,macro_average,0.7876851956049601,,
average,0.1258,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1258,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1258,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1258,macro_average,0.7876851956049601,,
average,0.12589999999999998,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12589999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12589999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12589999999999998,macro_average,0.7876851956049601,,
average,0.126,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.126,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.126,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.126,macro_average,0.7876851956049601,,
average,0.1261,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1261,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1261,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1261,macro_average,0.7876851956049601,,
average,0.1262,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1262,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
